step action_name action_id
0 right 1
1 right 1
2 right 1
3 right 1
4 right 1
5 right 1
6 right 1
7 right 1
8 right 1
9 down 2
10 down 2
11 down 2
12 down 2
13 down 2
14 down 2
15 right 1
16 down 2
17 down 2
18 down 2
19 down 2
20 down 2
21 down 2
22 down 2
23 down 2
24 down 2
25 down 2
26 right 1
27 right 1
28 up 3
29 up 3
30 up 3
31 up 3
32 up 3
33 up 3
34 up 3
35 left 0
36 left 0
37 left 0
38 left 0
39 left 0
40 left 0
41 left 0
42 left 0
43 left 0
44 left 0
45 left 0
46 left 0
47 left 0
48 left 0
49 left 0
50 left 0
51 left 0
52 left 0
53 left 0
54 left 0
55 left 0
56 left 0
57 left 0
58 left 0
59 left 0
60 left 0
61 left 0
62 left 0
63 left 0
64 left 0
65 left 0
66 up 3
67 up 3
68 up 3
69 up 3
70 up 3
71 up 3
72 up 3
73 up 3
74 up 3
75 up 3
76 up 3
77 up 3
78 up 3
79 right 1
80 right 1
81 right 1
82 right 1
83 right 1
84 right 1
85 right 1
86 right 1
87 right 1
88 right 1
89 right 1
90 right 1
91 right 1
92 right 1
93 right 1
94 right 1
95 right 1
96 right 1
97 right 1
98 right 1
99 right 1
100 right 1
101 right 1
102 right 1
103 right 1
104 right 1
105 right 1
106 right 1
107 right 1
108 right 1
109 right 1
110 right 1
111 right 1
112 right 1
113 right 1
114 right 1
115 right 1
116 right 1
117 right 1
118 right 1
119 down 2
120 down 2
121 down 2
122 down 2
123 down 2
124 down 2
125 down 2
126 down 2
127 up 3
128 up 3
129 up 3
130 up 3
131 up 3
132 up 3
133 up 3
134 up 3
135 up 3
136 up 3
137 up 3
138 up 3
139 up 3
140 up 3
141 left 0
142 left 0
143 left 0
144 left 0
145 left 0
146 up 3
147 up 3
148 right 1
149 right 1
150 right 1
151 right 1
152 right 1
153 right 1
154 up 3
155 up 3
156 up 3
157 up 3
158 up 3
159 up 3
160 up 3
161 up 3
162 up 3
163 up 3
164 up 3
165 up 3
166 up 3
167 up 3
168 up 3
169 up 3
170 up 3
171 up 3
172 up 3
173 up 3
174 up 3
175 up 3
176 up 3
177 up 3
178 up 3
179 up 3
180 up 3
181 left 0
182 left 0
183 left 0
184 left 0
185 left 0
186 left 0
187 left 0
188 left 0
189 left 0
190 left 0
191 left 0
192 left 0
193 left 0
194 down 2
195 left 0
196 left 0
197 left 0
198 left 0
199 left 0
200 left 0
201 left 0
202 down 2
203 down 2
204 down 2
205 down 2
206 down 2
207 left 0
208 left 0
209 left 0
210 left 0
211 left 0
212 left 0
213 left 0
214 left 0
215 left 0
216 left 0
217 left 0
218 left 0
219 left 0
220 left 0
221 left 0
222 left 0
223 left 0
224 down 2
225 down 2
226 down 2
227 down 2
228 down 2
229 left 0
230 down 2
231 down 2
232 down 2
233 down 2
234 down 2
235 down 2
236 down 2
237 down 2
238 down 2
239 down 2
240 down 2
241 down 2
242 up 3
243 up 3
244 up 3
245 up 3
246 up 3
247 left 0
248 left 0
249 left 0
250 up 3
251 up 3
252 up 3
253 right 1
254 right 1
255 right 1
256 up 3
257 up 3
258 up 3
259 up 3
260 up 3
261 left 0
262 up 3
263 up 3
264 up 3
265 up 3
266 up 3
267 up 3
268 up 3
269 up 3
270 up 3
271 up 3
272 up 3
273 up 3
274 up 3
275 up 3
276 up 3
277 up 3
278 up 3
279 up 3
280 up 3
281 up 3
282 up 3
283 up 3
284 up 3
285 up 3
286 up 3
287 up 3
288 up 3
289 up 3
290 up 3
291 up 3
292 up 3
293 up 3
294 right 1
295 right 1
296 right 1
297 right 1
298 right 1
299 right 1
300 right 1
301 right 1
302 right 1
303 right 1
304 right 1
305 right 1
306 right 1
307 right 1
308 right 1
309 right 1
310 right 1
311 right 1
312 right 1
313 right 1
314 right 1
315 right 1
316 right 1
317 right 1
318 right 1
319 right 1
320 right 1
321 right 1
322 right 1
323 right 1
324 right 1
325 right 1
326 right 1
327 down 2
328 down 2
329 down 2
330 down 2
331 down 2
332 left 0
333 left 0
334 left 0
335 left 0
336 left 0
337 left 0
338 left 0
339 left 0
340 left 0
341 down 2
342 right 1
343 right 1
344 right 1
345 right 1
346 right 1
347 right 1
348 right 1
349 right 1
350 right 1
351 down 2
352 down 2
353 down 2
354 down 2
355 down 2
356 down 2
357 down 2
358 down 2
359 down 2
360 down 2
361 down 2
362 down 2
363 down 2
364 down 2
365 down 2
366 left 0
367 left 0
368 left 0
369 left 0
370 left 0
371 left 0
372 left 0
373 left 0
374 left 0
375 left 0
376 left 0
377 left 0
378 left 0
379 left 0
380 left 0
381 left 0
382 left 0
383 left 0
384 left 0
385 left 0
386 left 0
387 left 0
388 left 0
389 left 0
390 left 0
391 left 0
392 left 0
393 left 0
394 left 0
395 left 0
396 left 0
397 left 0
398 left 0
399 left 0
400 left 0
401 left 0
402 left 0
403 left 0
404 left 0
405 left 0
406 left 0
407 left 0
